taxon,family,order,color,taxon_type
Aristocystites bohemicus,Aristocystitidae,Sphaeronitida,orange,ingroup
Asteroblastus stellatus,Asteroblastidae,Asteroblastida,forestgreen,ingroup
Dactylocystis schmidti,Dactylocystidae,Glyptosphaeritida,purple2,ingroup
Estonocystis antropoffi,Dactylocystidae,Glyptosphaeritida,purple2,ingroup
Eucystis angelini,Sphaeronitidae,Glyptosphaeritida,purple2,ingroup
Eumorphocystis multiporata,Eumorphocystidae,Glyptosphaeritida,purple2,ingroup
Fungocystites rarissimus,Protocrinitidae,Glyptosphaeritida,purple2,ingroup
Glyptosphaerites leuchtenbergi,Glyptosphaeritidae,Glyptosphaeritida,purple2,ingroup
Gomphocystites indianensis,Gomphocystitidae,Glyptosphaeritida,purple2,ingroup
Haplosphaeronis oblonga,Sphaeronitidae,Sphaeronitida,orange,ingroup
Holocystites cylindricus,Holocystitidae,Sphaeronitida,orange,ingroup
Holocystites salmoensis,Holocystitidae,Sphaeronitida,orange,ingroup
Holocystites scutellus,Holocystitidae,Sphaeronitida,orange,ingroup
Paulicystis densus,Holocystitidae,Sphaeronitida,orange,ingroup
Pentacystis gibsoni,Holocystitidae,Sphaeronitida,orange,ingroup
Pustulocystis pentax,Holocystitidae,Sphaeronitida,orange,ingroup
Sphaeronites rossicum,Sphaeronitidae,Sphaeronitida,orange,ingroup
Trematocystis magniporatus,Holocystitidae,Sphaeronitida,orange,ingroup
Triamara ventricosa,Aristocystitidae,Sphaeronitida,orange,ingroup
Tristomiocystis globosus,Protocrinitidae,Glyptosphaeritida,purple2,ingroup
Stephanocrinus angulatus,Stephanocrinidae,Coronata,deepskyblue4,ingroup
Canadocystis barrandei,Platycystitidae,Platycystitida,firebrick,ingroup
Hemicosmites grandis,Hemicosmitidae,Rhombifera,gold,ingroup
Eurekablastus rozhnovi,Blastocystidae,Parablastoidea,yellowgreen,ingroup
Hybocrinus nitidus,Hybocrinidae,Crinoidea,seagreen,ingroup
Rhopalocystis destombesi,Rhopalocystidae,Ascocystitida,gray75,outgroup
Gogia spiralis,Eocrinidae,Eocrinoidea,gray75,outgroup
Cheirocystis fultonensis,Cheirocrinidae,Rhombifera,pink3,ingroup